Gene_ID,Product description,Gene Identification,MIS,MFS
PF3D7_0411200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.122,-2.96
PF3D7_0411300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.142,-3.128
PF3D7_0411400,"DEAD box ATP-dependent RNA helicase, putative",Non - Mutable in CDS,0.146,-3.217
PF3D7_0411700,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.27,0.191
PF3D7_0411800,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.235
PF3D7_0411900,DNA polymerase alpha catalytic subunit A,Non - Mutable in CDS,0.13,-2.963
PF3D7_0412000,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.967,-2.729
PF3D7_0412100,"mitochondrial ribosomal protein S12 precursor, putative",Non - Mutable in CDS,0.385,-2.485
PF3D7_0412200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,1,-1.531
PF3D7_0412300,"phosphopantothenoylcysteine synthetase, putative",Mutable in CDS,0.98,-2.835
PF3D7_0412400,"erythrocyte membrane protein 1, PfEMP1",Non - Mutable in CDS,0.999,-1.817
PF3D7_0412600,"rifin, pseudogene",Non - Mutable in CDS,0.196,-2.544
PF3D7_0412700,"erythrocyte membrane protein 1, PfEMP1",Mutable in CDS,1,1.497
PF3D7_0412900,"erythrocyte membrane protein 1, PfEMP1",Mutable in CDS,1,-1.74
PF3D7_0413100,"erythrocyte membrane protein 1, PfEMP1",Mutable in CDS,1,-1.604
PF3D7_0413200,rifin,Non - Mutable in CDS,0.79,-2.403
PF3D7_0413300,rifin,Non - Mutable in CDS,0.432,-2.453
PF3D7_0413400,"erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene",Non - Mutable in CDS,0.997,-2.031
PF3D7_0413500,phosphoglucomutase-2,Non - Mutable in CDS,0.119,-3.017
PF3D7_0413600,"26S protease regulatory subunit 6B, putative",Non - Mutable in CDS,0.191,-2.71
PF3D7_0413700,"lysine decarboxylase-like protein, putative",Mutable in CDS,0.971,-2.569
PF3D7_0413800,"50S ribosomal protein L10, putative",Non - Mutable in CDS,0.152,-3.165
PF3D7_0413900,"ubiquitin carboxyl-terminal hydrolase 13, putative",Non - Mutable in CDS,0.121,-2.916
PF3D7_0414000,"structural maintenance of chromosomes protein 3, putative",Non - Mutable in CDS,0.142,-3.134
PF3D7_0414100,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,0.261,-2.488
PF3D7_0414200.1,calmodulin-like protein,Non - Mutable in CDS,0.131,-3.125
PF3D7_0414300,"Rab5-interacting protein, putative",Non - Mutable in CDS,0.59,-2.141
PF3D7_0414400,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.945
PF3D7_0414500,"RNA-binding protein, putative",Mutable in CDS,0.992,-2.762
PF3D7_0414600,"conserved Apicomplexan protein, unknown function",Non - Mutable in CDS,0.677,-2.209
PF3D7_0414700,"GTP-binding protein, putative",Mutable in CDS,0.951,-0.11
PF3D7_0414800,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,0.483
PF3D7_0414900,armadillo-domain containing rhoptry protein,Non - Mutable in CDS,0.682,-2.214
PF3D7_0415000,"arsenical pump-driving ATPase, putative",Non - Mutable in CDS,0.158,-3.251
PF3D7_0415100,"conserved protein, unknown function",Non - Mutable in CDS,0.133,-2.806
PF3D7_0415200,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.623
PF3D7_0415300,cdc2-related protein kinase 3,Non - Mutable in CDS,0.138,-2.825
PF3D7_0415400,"coatomer subunit zeta, putative",Non - Mutable in CDS,0.13,-3.262
PF3D7_0415500,"nuclear cap-binding protein subunit 2, putative",Non - Mutable in CDS,0.996,0
PF3D7_0415600,GTP:AMP phosphotransferase,Mutable in CDS,0.91,-2.385
PF3D7_0415700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.122,-3
PF3D7_0415800,"RING zinc finger protein, putative",Mutable in CDS,1,-0.641
PF3D7_0415900,"60S ribosomal protein L15, putative",Non - Mutable in CDS,0.123,-2.823
PF3D7_0416000,"RNA-binding protein, putative",Mutable in CDS,1,0.692
PF3D7_0416100,glutamyl-tRNA(Gln) amidotransferase subunit A,Non - Mutable in CDS,0.164,-2.831
PF3D7_0416200,"conserved protein, unknown function",Non - Mutable in CDS,0.431,-2.452
PF3D7_0416300,"DNA helicase MCM9, putative",Mutable in CDS,1,-2.279
PF3D7_0416400,"histone acetyltransferase, putative",Non - Mutable in CDS,0.401,-2.625
PF3D7_0416500,"repressor of RNA polymerase III transcription MAF1, putative",Non - Mutable in CDS,0.134,-2.987
PF3D7_0416600,"prohibitin-like protein, putative",Non - Mutable in CDS,0.12,-2.978
PF3D7_0416700,"CDGSH iron-sulfur domain-containing protein, putative",Mutable in CDS,0.987,1.286
PF3D7_0416800,small GTP-binding protein sar1,Non - Mutable in CDS,0.131,-2.831
PF3D7_0416900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.227,-2.747
PF3D7_0417000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.262,-2.667
PF3D7_0417100,mRNA-binding protein PUF2,Mutable in CDS,1,0.504
PF3D7_0417200,bifunctional dihydrofolate reductase-thymidylate synthase,Non - Mutable in CDS,0.125,-3.031
PF3D7_0417300,"LETM1-like protein, putative",Mutable in CDS,0.291,-3.298
PF3D7_0417400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.17,-2.817
PF3D7_0417500.1,memo-like protein,Non - Mutable in CDS,0.353,-2.456
PF3D7_0417600,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.07
PF3D7_0417700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.121,-2.858
PF3D7_0417800,cdc2-related protein kinase 1,Mutable in CDS,1,-2.585
PF3D7_0417900,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.805
PF3D7_0418000,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.427
PF3D7_0418100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.23,-2.648
PF3D7_0418200,"eukaryotic translation initiation factor 3 subunit M, putative",Non - Mutable in CDS,0.121,-3.135
PF3D7_0418300,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,0.944
PF3D7_0418400,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.289,-0.873
PF3D7_0418500,"trafficking protein particle complex subunit 3, putative",Non - Mutable in CDS,0.12,-3.04
PF3D7_0418600,"regulator of chromosome condensation, putative",Mutable in CDS,1,-2.628
PF3D7_0418700,"RNA-binding protein NOB1, putative",Non - Mutable in CDS,0.119,-2.985
PF3D7_0418800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.341,-2.465
PF3D7_0418900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.197,-2.694
PF3D7_0419000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.223,-2.463
PF3D7_0419100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.143,-2.913
PF3D7_0419200,"protein transport protein GOT1, putative",Non - Mutable in CDS,0.125,-3.136
PF3D7_0419300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.164,-2.853
PF3D7_0419400,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.128
PF3D7_0419500,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,1,-1.237
PF3D7_0419600,"ran-specific GTPase-activating protein 1, putative",Mutable in CDS,0.998,-1.968
PF3D7_0419700,apical merozoite protein,Non - Mutable in CDS,0.315,-3.44
PF3D7_0419800,"60S ribosomal protein L7ae/L30e, putative",Non - Mutable in CDS,0.208,-3.3
PF3D7_0419900,"phosphatidylinositol 4-kinase, putative",Non - Mutable in CDS,0.12,-3.011
PF3D7_0420000,"zinc finger protein, putative",Mutable in CDS,1,-1.265
PF3D7_0420100,serine/threonine protein kinase RIO2,Non - Mutable in CDS,0.125,-2.981
PF3D7_0420200,"holo-[acyl-carrier-protein] synthase, putative",Non - Mutable in CDS,0.234,-2.64
PF3D7_0420300,transcription factor with AP2 domain(s),Non - Mutable in CDS,0.401,-2.563
PF3D7_0420400,ribosome-recycling factor,Non - Mutable in CDS,0.164,-2.754
PF3D7_0420500,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.962,-0.762
PF3D7_0420600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.143,-3.265
PF3D7_0420700,"erythrocyte membrane protein 1, PfEMP1",Mutable in CDS,1,-1.925
PF3D7_0420900,"erythrocyte membrane protein 1, PfEMP1",Non - Mutable in CDS,0.99,-2.016
PF3D7_0421100,"erythrocyte membrane protein 1, PfEMP1",Non - Mutable in CDS,0.978,-2.103
PF3D7_0421200,rifin,Non - Mutable in CDS,1,-1.609
PF3D7_0421300,"erythrocyte membrane protein 1, PfEMP1",Mutable in CDS,1,-1.121
PF3D7_0421500,"rifin, pseudogene",Mutable in CDS,0.992,-1.183
PF3D7_0421600,erythrocyte membrane protein 1 (PfEMP1)-like pseudogene,Mutable in CDS,1,-1.272
PF3D7_0421700,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.866
PF3D7_0421800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.119,-2.995
PF3D7_0421900,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.4
PF3D7_0422000,"steroid dehydrogenase, putative",Non - Mutable in CDS,0.22,-2.969
PF3D7_0422100,"transmembrane emp24 domain-containing protein, putative",Non - Mutable in CDS,0.119,-2.978
PF3D7_0422200,erythrocyte membrane-associated antigen,Mutable in CDS,1,-2.322
PF3D7_0422300,alpha tubulin 2,Non - Mutable in CDS,0.966,-1.974
PF3D7_0422400,40S ribosomal protein S19,Non - Mutable in CDS,0.408,-2.526
PF3D7_0422500,"pre-mRNA-splicing helicase BRR2, putative",Non - Mutable in CDS,0.123,-2.951
PF3D7_0422600,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,1.421
PF3D7_0422700,"eukaryotic initiation factor 4A-III, putative",Non - Mutable in CDS,0.134,-2.791
PF3D7_0422800,"serpentine receptor, putative",Mutable in CDS,1,-0.746
PF3D7_0422900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.121,-3.177
PF3D7_0423000,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.847,-1.845
PF3D7_0423100,"AP-4 complex subunit sigma, putative",Non - Mutable in CDS,0.223,-2.931
PF3D7_0423200,"BSD-domain protein, putative",Mutable in CDS,1,-1.349
PF3D7_0423300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.696,-2.396
PF3D7_0423400,apical asparagine-rich protein AARP,Non - Mutable in CDS,0.519,0
PF3D7_0423500,glideosome associated protein with multiple membrane spans 2,Non - Mutable in CDS,0.773,-2.279
PF3D7_0423600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.126,-2.834
PF3D7_0423700,early transcribed membrane protein 4,Non - Mutable in CDS,1,0
PF3D7_0423800,cysteine-rich protective antigen,Non - Mutable in CDS,0.248,-2.623
PF3D7_0423900,"probable protein, unknown function",Non - Mutable in CDS,0.46,0
PF3D7_0424000,"Plasmodium exported protein (PHISTc), unknown function",Mutable in CDS,0.999,1.309
PF3D7_0424100,reticulocyte binding protein homologue 5,Non - Mutable in CDS,0.126,-3.141
PF3D7_0424200,reticulocyte binding protein homologue 4,Non - Mutable in CDS,0.12,-2.964
PF3D7_0424300,"erythrocyte binding antigen-165, pseudogene",Mutable in CDS,1,-2.144
PF3D7_0424400,surface-associated interspersed protein 4.2 (SURFIN 4.2),Mutable in CDS,1,-1.171
PF3D7_0424500,"serine/threonine protein kinase, FIKK family",Mutable in CDS,1,0.533
PF3D7_0424600,"Plasmodium exported protein (PHISTb), unknown function",Mutable in CDS,0.998,-0.203
PF3D7_0424700,"serine/threonine protein kinase, FIKK family",Mutable in CDS,1,0.721
PF3D7_0424800,"Plasmodium exported protein (PHISTb), unknown function",Mutable in CDS,1,-0.216
PF3D7_0424900,"Plasmodium exported protein (PHISTa), unknown function",Non - Mutable in CDS,0.131,-3.07
PF3D7_0425000,"Plasmodium exported protein, unknown function, pseudogene",Non - Mutable in CDS,0.128,-2.888
PF3D7_0425100,"Plasmodium exported protein (hyp6), unknown function",Mutable in CDS,0.866,-2.541
PF3D7_0425200,"Plasmodium exported protein (hyp15), unknown function",Mutable in CDS,1,0.74
PF3D7_0425300,"Plasmodium exported protein (PHISTa), unknown function, pseudogene",Non - Mutable in CDS,0.151,-2.715
PF3D7_0425400,"Plasmodium exported protein (PHISTa), unknown function",Non - Mutable in CDS,0.125,-2.73
PF3D7_0425500,stevor,Non - Mutable in CDS,0.971,-1.847
PF3D7_0425600,"rifin, pseudogene",Non - Mutable in CDS,0.143,-2.769
PF3D7_0425700,rifin,Non - Mutable in CDS,0.9,0
PF3D7_0425800,"erythrocyte membrane protein 1, PfEMP1",Mutable in CDS,1,-1.972
PF3D7_0425900,rifin,Non - Mutable in CDS,0.14,-2.764
PF3D7_0500100,"erythrocyte membrane protein 1, PfEMP1",Mutable in CDS,1,-1.546
PF3D7_0500200,"erythrocyte membrane protein 1 (PfEMP1), pseudogene",Non - Mutable in CDS,0.143,-3.421
PF3D7_0500300,"rifin, pseudogene",Non - Mutable in CDS,0.271,-2.525
PF3D7_0500400,rifin,Non - Mutable in CDS,0.282,-2.591
PF3D7_0500500,rifin,Non - Mutable in CDS,0.647,-2.263
PF3D7_0500600,"stevor, pseudogene",Non - Mutable in CDS,0.861,-2.215
PF3D7_0500700,"rifin, pseudogene",Non - Mutable in CDS,0.998,-1.921
PF3D7_0500800,mature parasite-infected erythrocyte surface antigen,Mutable in CDS,1,-1.237
PF3D7_0500900,"serine/threonine protein kinase, FIKK family",Mutable in CDS,0.584,-3.095
PF3D7_0501000,"Plasmodium exported protein, unknown function",Mutable in CDS,0.979,-0.91
PF3D7_0501100.1,"heat shock protein 40, type II",Non - Mutable in CDS,0.166,-2.499
PF3D7_0501200,parasite-infected erythrocyte surface protein,Mutable in CDS,0.988,-2.573
PF3D7_0501300,skeleton-binding protein 1,Non - Mutable in CDS,1,-1.196
PF3D7_0501400,interspersed repeat antigen,Mutable in CDS,1,-0.032
PF3D7_0501500,rhoptry-associated protein 3,Mutable in CDS,0.999,-2.948
PF3D7_0501600,rhoptry-associated protein 2,Non - Mutable in CDS,0.13,-3.205
PF3D7_0501700,"anaphase promoting complex subunit, putative",Mutable in CDS,1,-1.314
PF3D7_0501800,chromosome assembly factor 1,Non - Mutable in CDS,0.168,-2.708
PF3D7_0501900,"conserved protein, unknown function",Mutable in CDS,1,-2.59
PF3D7_0502000,"vacuolar protein sorting-associated protein 11, putative",Non - Mutable in CDS,0.154,-3.264
PF3D7_0502100,HCNGP-like protein,Non - Mutable in CDS,0.127,-2.998
PF3D7_0502200,"protein Mpv17, putative",Non - Mutable in CDS,0.137,-2.922
PF3D7_0502300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.943,-2.528
PF3D7_0502400,merozoite surface protein 8,Mutable in CDS,1,0.666
PF3D7_0502500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.128,-2.943
PF3D7_0502600,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.944,-2.951
PF3D7_0502700,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.921,-2.769
PF3D7_0502800,"DnaJ protein, putative",Mutable in CDS,0.423,-2.99
PF3D7_0502900,"mitochondrial inner membrane TIM10 associated protein, putative",Non - Mutable in CDS,0.182,-2.777
PF3D7_0503000,"50S ribosomal protein L28, apicoplast, putative",Non - Mutable in CDS,0.12,-2.854
PF3D7_0503100,"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, putative",Non - Mutable in CDS,0.17,-3.264
PF3D7_0503200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.141,-3.285
PF3D7_0503300,serine/arginine-rich splicing factor 12,Non - Mutable in CDS,0.866,-2.989
PF3D7_0503400,actin-depolymerizing factor 1,Non - Mutable in CDS,0.121,-3.113
PF3D7_0503500,"protein kinase, putative",Mutable in CDS,1,-0.289
PF3D7_0503600,myosin B,Mutable in CDS,0.99,-2.544
PF3D7_0503800,60S ribosomal protein L31,Non - Mutable in CDS,0.122,0
PF3D7_0503900,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.66,-3.021
PF3D7_0504000,cation transporting P-ATPase,Non - Mutable in CDS,0.149,-2.822
PF3D7_0504100,AN1-like zinc finger family protein,Non - Mutable in CDS,0.229,-2.856
PF3D7_0504200,"ATP-dependent RNA helicase DDX27, putative",Non - Mutable in CDS,0.142,-2.793
PF3D7_0504300,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.965,-2.539
PF3D7_0504400,"ATP-dependent helicase, putative",Non - Mutable in CDS,0.119,-2.91
PF3D7_0504500,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,2.161
PF3D7_0504600,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial, putative",Non - Mutable in CDS,0.999,-1.662
PF3D7_0504700,"centrosomal protein CEP120, putative",Mutable in CDS,1,-2.667
PF3D7_0504800,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.985,-2.72
PF3D7_0504900,"conserved protein, unknown function",Mutable in CDS,1,0.833
PF3D7_0505000,"conserved Plasmodium membrane protein, unknown function",Non - Mutable in CDS,0.179,-2.825
PF3D7_0505100,"trafficking protein particle complex subunit 8, putative",Non - Mutable in CDS,0.239,-2.679
PF3D7_0505200,"actin-like protein, putative",Mutable in CDS,0.848,-2.884
PF3D7_0505300,"UDP-N-acetylglucosamine transporter, putative",Mutable in CDS,0.984,-1.055
PF3D7_0505400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.137,-2.905
PF3D7_0505500,"DNA mismatch repair protein MSH6, putative",Non - Mutable in CDS,0.696,-2.407
PF3D7_0505600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.252,-2.721
PF3D7_0505700,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,1,1.421
PF3D7_0505800,small ubiquitin-related modifier,Non - Mutable in CDS,0.143,-2.803
PF3D7_0505900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.808,-2.634
PF3D7_0506000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.15,-3.387
PF3D7_0506100,"60S ribosomal subunit protein L24-2, putative",Non - Mutable in CDS,0.366,-3.407
PF3D7_0506200,TATA-box-binding protein,Non - Mutable in CDS,0.175,-2.784
PF3D7_0506300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.165,-3.308
PF3D7_0506400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.126,-3.113
PF3D7_0506500,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.284
PF3D7_0506600,"histone deacetylase, putative, pseudogene",Mutable in CDS,0.856,-2.229
PF3D7_0506700,"GTPase-activating protein, putative",Non - Mutable in CDS,0.126,-2.927
PF3D7_0506800,"transcription factor 25, putative",Mutable in CDS,1,-1.502
PF3D7_0506900,rhomboid protease ROM4,Non - Mutable in CDS,0.135,-3.16
PF3D7_0507000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.119,-3.723
PF3D7_0507100,60S ribosomal protein L4,Non - Mutable in CDS,0.178,-2.643
PF3D7_0507200,subtilisin-like protease 3,Mutable in CDS,1,0.379
PF3D7_0507300,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.405
PF3D7_0507400,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.998,-0.799
PF3D7_0507500,subtilisin-like protease 1,Non - Mutable in CDS,0.42,-2.54
PF3D7_0507600,"cell differentiation protein, putative",Non - Mutable in CDS,0.119,-3.091
PF3D7_0507700,"nuclear protein localization protein 4, putative",Non - Mutable in CDS,0.12,-2.935
PF3D7_0507800,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.716
PF3D7_0507900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.226,0
PF3D7_0508000,6-cysteine protein,Non - Mutable in CDS,0.12,-2.938
PF3D7_0508100,"SET domain protein, putative",Non - Mutable in CDS,0.155,-2.708
PF3D7_0508200,"longevity-assurance (LAG1) protein, putative",Mutable in CDS,0.394,-2.571
PF3D7_0508300,triose phosphate transporter,Non - Mutable in CDS,0.122,-3.009
PF3D7_0508400,"transcription factor IIb, putative",Non - Mutable in CDS,0.194,-2.594
PF3D7_0508500,guanidine nucleotide exchange factor,Non - Mutable in CDS,0.177,-2.704
PF3D7_0508600,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.874
PF3D7_0508700,"pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative",Non - Mutable in CDS,0.181,-2.754
PF3D7_0508800,single-stranded DNA-binding protein,Non - Mutable in CDS,0.151,-2.837
PF3D7_0508900,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.647
PF3D7_0509000,"SNAP protein (soluble N-ethylmaleimide-sensitive factor attachment protein), putative",Non - Mutable in CDS,0.363,0
PF3D7_0509100,"structural maintenance of chromosomes protein 4, putative",Non - Mutable in CDS,0.128,-2.845
PF3D7_0509200,leucine-rich repeat protein,Mutable in CDS,0.703,-2.94
PF3D7_0509300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.213,-2.688
PF3D7_0509400,RNA polymerase I,Non - Mutable in CDS,0.126,-2.929
PF3D7_0509500,"ERCC4 domain-containing protein, putative",Non - Mutable in CDS,0.119,-3.048
PF3D7_0509600,asparagine--tRNA ligase,Non - Mutable in CDS,0.12,-3.018
PF3D7_0509700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.125,-2.914
PF3D7_0509800,phosphatidylinositol 4-kinase,Non - Mutable in CDS,0.134,-3.011
PF3D7_0509900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.177,-3.412
PF3D7_0510000,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.587
PF3D7_0510100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.369,-2.606
PF3D7_0510200,peptidyl-prolyl cis-trans isomerase,Non - Mutable in CDS,0.206,-2.598
PF3D7_0510300,"stripes inner membrane complex protein, putative",Non - Mutable in CDS,0.177,-2.919
PF3D7_0510400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.151,-2.816
PF3D7_0510500,topoisomerase I,Non - Mutable in CDS,0.12,-3.151
PF3D7_0510700,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.251
PF3D7_0510800,"WD repeat-containing protein, putative",Mutable in CDS,0.996,-0.933
PF3D7_0511000,translationally-controlled tumor protein homolog,Mutable in CDS,0.994,0.283
PF3D7_0511100,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.413,-3.168
PF3D7_0511200,stearoyl-CoA desaturase,Mutable in CDS,1,-1.018
PF3D7_0511300,"MORN repeat protein, putative",Mutable in CDS,1,-2.558
PF3D7_0511400,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.094
PF3D7_0511500,"RNA pseudouridylate synthase, putative",Mutable in CDS,1,-1.927
PF3D7_0511600,apical rhoptry neck protein,Non - Mutable in CDS,0.125,-3.068
PF3D7_0511700,EKC/KEOPS complex subunit CGI121,Non - Mutable in CDS,0.123,-3.581
PF3D7_0511800,inositol-3-phosphate synthase,Mutable in CDS,1,0.93
PF3D7_0511900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.191,-2.777
PF3D7_0512000,"prefoldin subunit 6, putative",Non - Mutable in CDS,0.709,0
PF3D7_0512100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.301,-3.471
PF3D7_0512200,glutathione synthetase,Non - Mutable in CDS,0.133,-2.816
PF3D7_0512300,CDK-activating kinase assembly factor,Non - Mutable in CDS,0.154,-2.78
PF3D7_0512400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.142,-3.021
PF3D7_0512450,"conserved Plasmodium protein, unknown function, pseudogene",Mutable in CDS,0.98,-2.956
PF3D7_0512500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.174,-3.29
PF3D7_0512600,ras-related protein Rab-1B,Non - Mutable in CDS,0.122,-3.249
PF3D7_0512700,orotate phosphoribosyltransferase,Non - Mutable in CDS,0.214,-3.229
PF3D7_0512800,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.119,-3.039
PF3D7_0512900,AKAP-like protein,Mutable in CDS,0.999,0.666
PF3D7_0513000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.127,-3.279
PF3D7_0513100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.127,-3.081
PF3D7_0513200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.081
PF3D7_0513300,purine nucleoside phosphorylase,Mutable in CDS,1,-2.123
PF3D7_0513400,"GTP-binding protein, putative",Non - Mutable in CDS,0.121,-2.922
PF3D7_0513500,"mitochondrial import inner membrane translocase subunit TIM16, putative",Non - Mutable in CDS,0.342,-3.364
PF3D7_0513600,"deoxyribodipyrimidine photo-lyase, putative",Non - Mutable in CDS,0.132,-2.883
PF3D7_0513700,"secreted ookinete protein, putative",Non - Mutable in CDS,0.137,-3.141
PF3D7_0513800,ras-related protein Rab-1A,Non - Mutable in CDS,0.232,-2.589
PF3D7_0513900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.122,-2.943
PF3D7_0514000,"tubulin--tyrosine ligase, putative",Mutable in CDS,0.925,-2.672
PF3D7_0514100,ATP-dependent DNA helicase UvrD,Mutable in CDS,1,-1.856
PF3D7_0514200,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.981,-2.411
PF3D7_0514300,"aspartate--tRNA ligase, putative",Non - Mutable in CDS,0.148,-2.8
PF3D7_0514500,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,1,0.596
PF3D7_0514600,"ribose-5-phosphate isomerase, putative",Non - Mutable in CDS,0.124,-3.134
PF3D7_0514700,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.145
PF3D7_0514800,"kinase, putative",Non - Mutable in CDS,0.128,-3.316
PF3D7_0514900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.054
PF3D7_0515000,"pre-mRNA-splicing factor CWC2, putative",Mutable in CDS,1,-2.274
PF3D7_0515100,rhomboid protease ROM9,Non - Mutable in CDS,0.258,-2.688
PF3D7_0515200,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.302,-3.442
PF3D7_0515300,phosphatidylinositol 3-kinase,Non - Mutable in CDS,0.242,-2.674
PF3D7_0515400,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.668
PF3D7_0515500,"amino acid transporter, putative",Mutable in CDS,1,-0.338
PF3D7_0515600,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.945
PF3D7_0515700,"glideosome-associated protein 40, putative",Non - Mutable in CDS,0.994,-1.939
PF3D7_0515800,"BolA-like protein, putative",Non - Mutable in CDS,0.165,-3.944
PF3D7_0515900,"NLI interacting factor-like phosphatase, putative",Mutable in CDS,0.645,-2.94
PF3D7_0516000,"RAP protein, putative",Non - Mutable in CDS,0.12,-3.091
PF3D7_0516100,cation-transporting ATPase 1,Mutable in CDS,1,-1.696
PF3D7_0516200,40S ribosomal protein S11,Non - Mutable in CDS,0.144,-3.08
PF3D7_0516300,"tRNA pseudouridine synthase, putative",Mutable in CDS,0.998,-2.549
PF3D7_0516400,"phosducin-like protein, putative",Non - Mutable in CDS,0.151,-2.827
PF3D7_0516500,"major facilitator superfamily domain-containing protein, putative",Mutable in CDS,0.87,1.215
PF3D7_0516600,sporozoite surface antigen MB2,Non - Mutable in CDS,0.128,-3.064
